num,solved,opt,low,upper,comps,deg,n,space,time,reduced_n
1,1,6,6,6,1,6.9,20,87,9,0
2,1,7,7,7,1,14.48,25,170,162,0
3,1,7,7,7,1,9.36,28,23399,282,0
4,1,10,10,10,1,15.0,28,205,34,0
5,1,6,6,6,1,16.79,28,243,1733,0
6,1,8,7,8,1,12.41,29,20593,296,0
7,1,8,7,8,1,11.67,30,19586,275,0
8,1,8,7,8,1,13.0,30,40559,438,0
9,1,3,3,3,1,3.35,31,660125,3778,0
10,1,5,5,5,1,5.62,32,152,171,0
11,1,5,5,5,1,8.18,33,5434,1021,0
12,1,5,5,5,3,4.45,40,530,4153,0
13,1,4,4,4,1,4.32,44,56893,1472,0
14,1,3,3,3,1,3.36,47,87,524,0
15,1,3,3,3,1,3.25,48,87,186,0
16,1,3,3,3,1,3.92,48,21763,1001,0
17,1,4,4,4,1,9.41,51,65,1011,0
18,1,3,3,3,1,3.35,52,59,270,0
19,1,3,3,3,1,5.42,52,274,404,0
20,1,3,3,3,1,3.15,54,112,4310,0
21,1,3,3,3,1,4.59,54,149,447,0
22,1,2,2,2,1,2.29,56,91,157,0
23,1,3,3,3,1,3.75,57,142,781,0
24,1,3,3,3,1,3.43,60,213,603,0
25,1,2,2,2,1,3.48,62,170,140,0
26,1,3,3,3,3,3.7,66,125,853,0
27,1,5,5,5,11,3.62,73,660,7394,0
28,1,2,2,2,8,3.14,74,91,116,0
29,1,3,3,3,1,2.38,78,256,3224,0
30,1,3,3,3,1,2.35,80,224,6688,0
31,1,2,2,2,4,3.83,81,797,126,0
32,1,2,2,2,1,2.02,84,24,164,0
33,1,2,2,2,2,2.09,94,61,134,0
34,1,2,2,2,15,2.93,103,7727,104,0
35,0,0,19,30,1,92.57,140,0,0,0
36,0,0,18,30,1,91.02,141,0,0,0
37,0,0,20,32,1,93.72,141,0,0,0
38,0,0,18,29,1,95.48,141,0,0,0
39,0,0,19,30,1,92.66,143,0,0,0
40,0,0,18,30,1,98.76,143,0,0,0
41,0,0,19,30,1,100.83,143,0,0,0
42,0,0,70,81,1,120.48,200,0,0,0
43,0,0,60,76,1,138.68,200,0,0,0
44,0,0,38,45,1,139.3,200,0,0,0
45,0,0,11,19,1,45.29,202,0,0,198
46,0,0,21,44,1,35.82,478,0,0,476
47,0,0,3,32,1,10.99,822,0,0,822
48,0,0,4,33,1,11.43,822,0,0,822
49,0,0,7,36,3,6.12,909,0,0,834
50,0,0,7,38,3,6.54,916,0,0,847
51,0,0,4,30,9,7.22,1010,0,0,989
52,0,0,6,40,1,9.6,1024,0,0,909
53,0,0,6,12,1,25.6,1049,0,0,500
54,0,0,5,6,1,29.52,1182,0,0,435
55,0,0,4,9,1,9.51,1224,0,0,1147
56,0,0,4,29,1,11.94,1258,0,0,0
57,0,0,3,28,1,7.73,1350,0,0,0
58,0,0,6,26,1,7.71,1365,0,0,1365
59,0,0,5,14,7,5.6,1413,0,0,0
60,0,0,6,14,4,5.08,1488,0,0,1401
61,0,0,3,14,18,6.25,1505,0,0,1159
62,0,0,0,23,1,6.95,1586,0,0,0
63,0,0,0,41,1,8.92,1632,0,0,0
64,0,0,2,28,1,4.94,1700,0,0,1700
65,0,0,0,21,1,5.83,1742,0,0,0
66,0,0,4,15,3,7.02,1813,0,0,1623
67,0,0,4,16,3,7.04,1813,0,0,1621
68,0,0,5,20,1,18.47,1236,0,0,0
69,0,0,4,5,1,40.83,1280,0,0,465
70,0,0,8,18,1,18.4,1760,0,0,1760
71,0,0,5,12,1,15.02,2166,0,0,2166
72,0,0,0,9,1,8.16,3509,0,0,0
73,0,0,4,8,1,2.31,4838,0,0,4830
74,0,0,2,18,2,4.94,5486,0,0,2928
75,0,0,3,14,1079,3.92,5612,0,0,2114
76,0,0,4,16,3,7.04,1814,0,0,1622
77,0,0,5,13,1,14.58,2017,0,0,2017
78,0,0,0,20,1,5.88,2166,0,0,0
79,0,0,5,12,3,16.26,2194,0,0,2194
80,0,0,3,6,1,2.75,2263,0,0,2211
81,0,0,3,7,1,2.42,2530,0,0,2523
82,0,0,3,9,123,3.34,2543,0,0,2298
83,0,0,3,10,1,2.54,2562,0,0,2557
84,0,0,3,8,3,2.38,2675,0,0,2626
85,0,0,3,19,1,5.63,2735,0,0,2075
86,0,0,4,12,1,3.66,2931,0,0,2896
87,0,0,2,16,1,7.19,3006,0,0,815
88,0,0,2,15,1,7.19,3006,0,0,816
89,0,0,2,7,4,2.17,3034,0,0,2917
90,0,0,3,13,4,3.74,3086,0,0,2960
91,0,0,3,7,1,4.9,3200,0,0,0
92,0,0,3,5,1,4.8,3477,0,0,2152
93,0,0,3,5,1,4.73,3482,0,0,1647
94,0,0,3,11,155,3.1,3530,0,0,2331
95,0,0,3,7,2,6.39,3600,0,0,1800
96,0,0,3,8,1,6.83,3969,0,0,3796
97,0,0,2,15,1,2.19,5067,0,0,1644
98,0,0,3,8,723,1.85,7253,0,0,768
99,0,0,0,13,1,2.27,7537,0,0,798
100,1,0,0,0,5000,1.5,20000,5000,606,0
